research_item_id,sa_item_id,claude_sonnet_4_thinking_correct,gemini_2_5_pro_correct,grok_4_correct,openai_o3_correct,n_models_correct,all_models_incorrect
RES-000006,SA_0001,1,1,1,1,4,0
RES-000009,SA_0002,1,1,1,1,4,0
RES-000011,SA_0003,1,1,1,1,4,0
RES-000016,SA_0004,0,1,1,1,3,0
RES-000026,SA_0005,1,1,0,1,3,0
RES-000030,SA_0006,1,1,1,1,4,0
RES-000036,SA_0007,0,0,0,0,0,1
RES-000037,SA_0008,0,0,1,0,1,0
RES-000039,SA_0009,0,0,0,0,0,1
RES-000047,SA_0010,0,0,0,0,0,1
RES-000051,SA_0011,1,1,1,1,4,0
RES-000054,SA_0012,0,0,0,0,0,1
RES-000056,SA_0013,0,1,1,1,3,0
RES-000059,SA_0014,0,0,0,0,0,1
RES-000064,SA_0015,0,0,0,0,0,1
RES-000065,SA_0016,1,1,0,1,3,0
RES-000067,SA_0017,0,0,0,0,0,1
RES-000070,SA_0018,0,0,1,0,1,0
RES-000072,SA_0019,1,1,1,1,4,0
RES-000074,SA_0020,1,1,1,1,4,0
RES-000077,SA_0021,1,1,1,1,4,0
RES-000078,SA_0022,0,1,1,1,3,0
RES-000079,SA_0023,1,1,1,1,4,0
RES-000080,SA_0024,0,0,0,0,0,1
RES-000082,SA_0025,0,0,0,0,0,1
RES-000084,SA_0026,0,0,1,0,1,0
RES-000087,SA_0027,0,0,0,0,0,1
RES-000088,SA_0028,0,1,1,1,3,0
RES-000090,SA_0029,0,1,0,1,2,0
RES-000093,SA_0030,0,1,1,1,3,0
RES-000098,SA_0031,0,0,0,0,0,1
RES-000099,SA_0032,0,1,1,1,3,0
RES-000102,SA_0033,0,0,0,0,0,1
RES-000103,SA_0034,0,0,0,0,0,1
RES-000105,SA_0035,1,1,1,1,4,0
RES-000106,SA_0036,0,0,0,0,0,1
RES-000109,SA_0037,0,0,0,0,0,1
RES-000113,SA_0038,1,1,1,0,3,0
RES-000117,SA_0039,0,1,1,1,3,0
RES-000120,SA_0040,0,0,0,0,0,1
RES-000121,SA_0041,0,0,0,0,0,1
RES-000127,SA_0042,0,0,0,0,0,1
RES-000131,SA_0043,0,0,0,0,0,1
RES-000132,SA_0044,0,1,1,1,3,0
RES-000135,SA_0045,1,1,1,1,4,0
RES-000137,SA_0046,1,1,1,1,4,0
RES-000138,SA_0047,0,0,0,0,0,1
RES-000140,SA_0048,0,0,0,0,0,1
RES-000141,SA_0049,0,0,0,0,0,1
RES-000143,SA_0050,1,1,1,1,4,0
RES-000145,SA_0051,0,0,0,0,0,1
RES-000147,SA_0052,0,0,0,0,0,1
RES-000151,SA_0053,1,1,1,1,4,0
RES-000155,SA_0054,0,0,0,0,0,1
RES-000156,SA_0055,0,1,0,0,1,0
RES-000160,SA_0056,0,0,0,0,0,1
RES-000162,SA_0057,0,0,0,0,0,1
RES-000166,SA_0058,0,0,0,0,0,1
RES-000171,SA_0059,1,1,0,0,2,0
RES-000180,SA_0060,0,0,0,0,0,1
RES-000183,SA_0061,1,1,0,0,2,0
RES-000186,SA_0062,0,0,0,0,0,1
RES-000188,SA_0063,0,0,1,0,1,0
RES-000190,SA_0064,0,0,0,0,0,1
RES-000191,SA_0065,0,0,0,0,0,1
RES-000195,SA_0066,1,1,1,1,4,0
RES-000197,SA_0067,0,0,0,0,0,1
RES-000203,SA_0068,1,1,1,1,4,0
RES-000208,SA_0069,0,0,1,0,1,0
RES-000212,SA_0070,0,0,0,0,0,1
RES-000214,SA_0071,0,1,1,1,3,0
RES-000218,SA_0072,0,0,0,0,0,1
RES-000221,SA_0073,0,0,0,0,0,1
RES-000224,SA_0074,0,1,0,1,2,0
RES-000225,SA_0075,1,1,1,1,4,0
RES-000228,SA_0076,0,0,0,0,0,1
RES-000233,SA_0077,0,0,0,0,0,1
RES-000238,SA_0078,0,0,0,0,0,1
RES-000240,SA_0079,0,0,0,0,0,1
RES-000245,SA_0080,1,1,1,1,4,0
RES-000249,SA_0081,0,0,0,0,0,1
RES-000250,SA_0082,0,0,0,0,0,1
RES-000257,SA_0083,0,0,0,0,0,1
RES-000261,SA_0084,0,1,1,1,3,0
RES-000267,SA_0085,0,1,0,0,1,0
RES-000271,SA_0086,1,1,1,1,4,0
RES-000275,SA_0087,0,0,0,0,0,1
RES-000277,SA_0088,1,1,1,1,4,0
RES-000279,SA_0089,0,0,0,0,0,1
RES-000280,SA_0090,0,0,0,0,0,1
RES-000281,SA_0091,0,0,0,0,0,1
RES-000285,SA_0092,1,1,1,1,4,0
RES-000287,SA_0093,0,1,1,1,3,0
RES-000288,SA_0094,0,0,0,0,0,1
RES-000289,SA_0095,0,0,0,0,0,1
RES-000290,SA_0096,0,0,0,0,0,1
RES-000291,SA_0097,0,0,0,0,0,1
RES-000294,SA_0098,0,1,1,1,3,0
RES-000297,SA_0099,1,1,1,1,4,0
RES-000300,SA_0100,0,0,0,0,0,1
RES-000308,SA_0101,0,0,0,0,0,1
RES-000312,SA_0102,0,0,0,0,0,1
RES-000315,SA_0103,0,0,0,0,0,1
RES-000317,SA_0104,0,0,0,0,0,1
RES-000319,SA_0105,0,0,1,0,1,0
RES-000325,SA_0106,0,0,0,0,0,1
RES-000329,SA_0107,0,0,1,0,1,0
RES-000330,SA_0108,0,0,0,0,0,1
RES-000336,SA_0109,0,0,0,0,0,1
RES-000343,SA_0110,0,0,1,0,1,0
RES-000349,SA_0111,0,0,0,0,0,1
RES-000355,SA_0112,0,0,0,0,0,1
RES-000359,SA_0113,0,0,0,0,0,1
RES-000361,SA_0114,0,0,0,0,0,1
RES-000365,SA_0115,0,0,0,0,0,1
RES-000370,SA_0116,0,0,0,0,0,1
RES-000373,SA_0117,0,0,0,0,0,1
RES-000378,SA_0118,0,0,0,0,0,1
RES-000383,SA_0119,0,0,0,0,0,1
RES-000385,SA_0120,0,1,0,1,2,0
RES-000388,SA_0121,0,1,0,1,2,0
RES-000390,SA_0122,0,0,0,0,0,1
RES-000392,SA_0123,0,0,0,0,0,1
RES-000394,SA_0124,0,0,0,0,0,1
RES-000396,SA_0125,1,1,1,1,4,0
RES-000397,SA_0126,1,1,0,0,2,0
RES-000401,SA_0127,0,1,0,1,2,0
RES-000402,SA_0128,0,1,0,1,2,0
RES-000404,SA_0129,0,0,0,0,0,1
RES-000408,SA_0130,1,1,1,1,4,0
RES-000421,SA_0131,0,1,0,1,2,0
RES-000424,SA_0132,0,1,0,1,2,0
RES-000426,SA_0133,0,0,0,0,0,1
RES-000430,SA_0134,0,0,0,0,0,1
RES-000439,SA_0135,0,1,0,1,2,0
RES-000441,SA_0136,0,0,0,0,0,1
RES-000443,SA_0137,1,1,1,1,4,0
RES-000445,SA_0138,0,0,1,0,1,0
RES-000447,SA_0139,1,0,1,0,2,0
RES-000449,SA_0140,1,1,1,1,4,0
RES-000454,SA_0141,0,0,0,0,0,1
RES-000457,SA_0142,1,0,1,0,2,0
RES-000459,SA_0143,0,0,0,0,0,1
RES-000461,SA_0144,0,0,0,0,0,1
RES-000462,SA_0145,0,0,0,0,0,1
RES-000463,SA_0146,0,0,0,0,0,1
RES-000465,SA_0147,0,1,0,1,2,0
RES-000476,SA_0148,0,0,0,0,0,1
RES-000482,SA_0149,0,0,0,0,0,1
RES-000484,SA_0150,1,1,0,1,3,0
RES-000490,SA_0151,0,0,0,0,0,1
RES-000493,SA_0152,0,0,0,0,0,1
RES-000498,SA_0153,0,0,0,0,0,1
RES-000504,SA_0154,0,0,0,0,0,1
RES-000506,SA_0155,1,1,1,1,4,0
RES-000508,SA_0156,0,0,0,0,0,1
RES-000510,SA_0157,0,0,0,0,0,1
RES-000511,SA_0158,1,1,1,1,4,0
RES-000524,SA_0159,0,0,0,0,0,1
RES-000528,SA_0160,0,0,0,0,0,1
RES-000529,SA_0161,0,0,0,0,0,1
RES-000532,SA_0162,0,0,0,0,0,1
RES-000536,SA_0163,0,0,0,0,0,1
RES-000539,SA_0164,0,0,0,0,0,1
RES-000544,SA_0165,0,0,0,0,0,1
RES-000549,SA_0166,1,0,1,0,2,0
RES-000556,SA_0167,0,0,1,0,1,0
RES-000561,SA_0168,0,0,0,0,0,1
RES-000562,SA_0169,0,0,0,0,0,1
RES-000568,SA_0170,0,0,0,0,0,1
RES-000576,SA_0171,0,0,1,1,2,0
RES-000577,SA_0172,0,0,0,0,0,1
RES-000580,SA_0173,0,0,0,0,0,1
RES-000584,SA_0174,0,1,1,1,3,0
RES-000596,SA_0175,1,1,1,1,4,0
RES-000602,SA_0176,1,1,1,1,4,0
RES-000605,SA_0177,1,1,1,0,3,0
RES-000608,SA_0178,1,1,1,1,4,0
RES-000612,SA_0179,0,0,0,0,0,1
RES-000617,SA_0180,0,0,0,0,0,1
RES-000625,SA_0181,0,0,0,0,0,1
RES-000645,SA_0182,0,0,0,0,0,1
RES-000654,SA_0183,1,0,1,0,2,0
RES-000658,SA_0184,0,0,0,0,0,1
RES-000661,SA_0185,0,0,0,0,0,1
RES-000666,SA_0186,0,0,0,0,0,1
RES-000678,SA_0187,0,1,1,1,3,0
RES-000680,SA_0188,0,0,0,0,0,1
RES-000684,SA_0189,1,1,1,1,4,0
RES-000686,SA_0190,1,1,1,1,4,0
RES-000691,SA_0191,0,0,0,0,0,1
RES-000700,SA_0192,0,0,0,0,0,1
RES-000702,SA_0193,0,0,0,0,0,1
RES-000706,SA_0194,0,0,0,0,0,1
RES-000710,SA_0195,0,1,0,1,2,0
RES-000714,SA_0196,0,0,0,0,0,1
RES-000716,SA_0197,1,1,1,1,4,0
RES-000720,SA_0198,0,0,0,0,0,1
RES-000733,SA_0199,0,0,0,0,0,1
RES-000737,SA_0200,0,0,0,0,0,1
RES-000738,SA_0201,0,0,0,0,0,1
RES-000741,SA_0202,0,0,1,0,1,0
RES-000742,SA_0203,1,1,1,1,4,0
RES-000743,SA_0204,0,0,0,0,0,1
RES-000746,SA_0205,1,1,1,1,4,0
RES-000751,SA_0206,1,1,1,1,4,0
RES-000752,SA_0207,0,0,0,0,0,1
RES-000754,SA_0208,0,0,0,0,0,1
RES-000755,SA_0209,1,0,1,0,2,0
RES-000756,SA_0210,0,0,0,0,0,1
RES-000758,SA_0211,0,1,1,1,3,0
RES-000761,SA_0212,0,0,0,0,0,1
RES-000763,SA_0213,0,0,0,0,0,1
RES-000764,SA_0214,1,1,1,1,4,0
RES-000769,SA_0215,1,1,1,1,4,0
RES-000770,SA_0216,1,0,0,0,1,0
RES-000771,SA_0217,0,0,0,0,0,1
RES-000772,SA_0218,0,0,0,0,0,1
RES-000773,SA_0219,1,0,1,0,2,0
RES-000776,SA_0220,0,0,0,0,0,1
RES-000778,SA_0221,0,0,0,0,0,1
RES-000779,SA_0222,0,0,0,0,0,1
RES-000784,SA_0223,0,0,0,0,0,1
RES-000785,SA_0224,0,1,1,1,3,0
RES-000786,SA_0225,0,0,0,0,0,1
RES-000789,SA_0226,0,1,0,0,1,0
RES-000793,SA_0227,0,0,0,0,0,1
RES-000797,SA_0228,0,0,0,0,0,1
RES-000798,SA_0229,0,1,0,1,2,0
RES-000801,SA_0230,1,1,1,1,4,0
RES-000803,SA_0231,0,0,0,0,0,1
RES-000805,SA_0232,0,0,1,0,1,0
RES-000806,SA_0233,0,0,0,0,0,1
RES-000808,SA_0234,0,1,0,0,1,0
RES-000810,SA_0235,0,0,0,0,0,1
RES-000811,SA_0236,0,1,0,0,1,0
RES-000813,SA_0237,1,1,1,1,4,0
RES-000817,SA_0238,1,1,0,1,3,0
RES-000819,SA_0239,0,0,0,0,0,1
RES-000821,SA_0240,0,0,0,0,0,1
RES-000823,SA_0241,1,1,1,1,4,0
RES-000825,SA_0242,0,1,1,1,3,0
RES-000827,SA_0243,1,1,0,1,3,0
RES-000828,SA_0244,0,0,1,0,1,0
RES-000829,SA_0245,0,0,0,0,0,1
RES-000831,SA_0246,0,0,0,0,0,1
RES-000832,SA_0247,0,1,0,1,2,0
RES-000834,SA_0248,0,0,0,0,0,1
RES-000838,SA_0249,0,0,0,0,0,1
RES-000840,SA_0250,0,0,0,0,0,1
RES-000841,SA_0251,0,1,1,0,2,0
RES-000842,SA_0252,0,1,1,1,3,0
RES-000847,SA_0253,0,0,0,0,0,1
RES-000850,SA_0254,0,0,0,0,0,1
RES-000851,SA_0255,0,0,0,0,0,1
RES-000861,SA_0256,0,0,0,0,0,1
RES-000862,SA_0257,0,0,0,0,0,1
RES-000863,SA_0258,1,1,1,1,4,0
RES-000866,SA_0259,0,0,0,0,0,1
RES-000867,SA_0260,0,0,0,0,0,1
RES-000868,SA_0261,0,0,0,0,0,1
RES-000869,SA_0262,1,1,1,1,4,0
RES-000870,SA_0263,0,0,0,0,0,1
RES-000871,SA_0264,1,1,1,1,4,0
RES-000873,SA_0265,0,1,1,1,3,0
RES-000875,SA_0266,0,1,0,1,2,0
RES-000876,SA_0267,1,1,1,1,4,0
RES-000879,SA_0268,1,1,0,1,3,0
RES-000883,SA_0269,0,0,1,0,1,0
RES-000885,SA_0270,0,1,0,1,2,0
RES-000888,SA_0271,0,1,1,1,3,0
RES-000899,SA_0272,1,1,1,1,4,0
RES-000939,SA_0273,0,1,0,1,2,0
RES-000940,SA_0274,0,1,1,0,2,0
RES-000945,SA_0275,0,1,0,1,2,0
RES-000954,SA_0276,1,1,0,1,3,0
RES-000959,SA_0277,0,0,0,0,0,1
RES-000963,SA_0278,0,0,0,0,0,1
RES-000972,SA_0279,1,1,1,0,3,0
RES-000976,SA_0280,0,0,0,0,0,1
RES-000981,SA_0281,0,0,0,0,0,1
RES-000986,SA_0282,0,0,0,0,0,1
RES-000992,SA_0283,1,0,0,0,1,0
RES-000995,SA_0284,1,1,1,1,4,0
RES-000998,SA_0285,0,1,1,1,3,0
RES-001010,SA_0286,0,0,0,0,0,1
RES-001027,SA_0287,0,0,0,0,0,1
RES-001030,SA_0288,0,0,0,0,0,1
RES-001047,SA_0289,1,1,0,0,2,0
RES-001049,SA_0290,1,0,0,0,1,0
RES-001050,SA_0291,0,0,0,0,0,1
RES-001053,SA_0292,0,1,0,1,2,0
RES-001061,SA_0293,1,1,1,1,4,0
RES-001067,SA_0294,0,0,0,0,0,1
RES-001070,SA_0295,0,0,0,0,0,1
RES-001098,SA_0296,0,0,0,0,0,1
RES-001110,SA_0297,0,0,0,0,0,1
RES-001134,SA_0298,0,0,0,0,0,1
RES-001142,SA_0299,1,1,1,1,4,0
