audit_order,research_item_id,sa_item_id,human_reference_fidelity_label
1,RES-010690,SA_1442,Accurate
2,RES-008182,SA_1191,Accurate
3,RES-002089,SA_0443,Accurate
4,RES-000141,SA_0049,Accurate
5,RES-000797,SA_0228,Accurate
6,RES-009210,SA_1333,Accurate
7,RES-005065,SA_0632,Accurate
8,RES-001493,SA_0348,Accurate
9,RES-008081,SA_1151,Accurate
10,RES-009232,SA_1336,Accurate
11,RES-000817,SA_0238,Accurate
12,RES-001098,SA_0296,Accurate
13,RES-006493,SA_0729,Accurate
14,RES-007643,SA_0943,Accurate
15,RES-008016,SA_1122,Accurate
16,RES-010580,SA_1422,Accurate
17,RES-003020,SA_0519,Accurate
18,RES-007887,SA_1068,Accurate
19,RES-005223,SA_0638,Accurate
20,RES-008226,SA_1204,Accurate
21,RES-002113,SA_0452,Accurate
22,RES-002126,SA_0455,Accurate
23,RES-008383,SA_1266,Accurate
24,RES-008406,SA_1272,Accurate
25,RES-003910,SA_0569,Accurate
26,RES-002405,SA_0503,Accurate
27,RES-008108,SA_1163,Accurate
28,RES-009580,SA_1358,Accurate
29,RES-010045,SA_1384,Accurate
30,RES-010061,SA_1386,Accurate
31,RES-007936,SA_1090,Accurate
32,RES-001449,SA_0346,Accurate
33,RES-008135,SA_1178,Accurate
34,RES-007657,SA_0951,Accurate
35,RES-008167,SA_1188,Accurate
36,RES-007987,SA_1113,Accurate
37,RES-008851,SA_1300,Accurate
38,RES-008064,SA_1148,Accurate
39,RES-001612,SA_0367,Accurate
40,RES-007964,SA_1102,Accurate
41,RES-010245,SA_1392,Accurate
42,RES-009615,SA_1363,Accurate
43,RES-000457,SA_0142,Accurate
44,RES-007483,SA_0867,Accurate
45,RES-007397,SA_0829,Accurate
46,RES-010548,SA_1417,Accurate
47,RES-000684,SA_0189,Accurate
48,RES-001787,SA_0397,Accurate
49,RES-008904,SA_1304,Accurate
50,RES-000801,SA_0230,Accurate
51,RES-007612,SA_0926,Accurate
52,RES-006717,SA_0755,Accurate
53,RES-002021,SA_0430,Accurate
54,RES-001310,SA_0322,Accurate
55,RES-006318,SA_0711,Accurate
56,RES-000743,SA_0204,Accurate
57,RES-007718,SA_0981,Accurate
58,RES-007769,SA_1009,Accurate
59,RES-003043,SA_0521,Accurate
60,RES-007470,SA_0861,Accurate
61,RES-000131,SA_0043,Accurate
62,RES-007875,SA_1063,Accurate
63,RES-007650,SA_0947,Accurate
64,RES-000810,SA_0235,Accurate
65,RES-000294,SA_0098,Accurate
66,RES-000867,SA_0260,Accurate
67,RES-007389,SA_0825,Accurate
68,RES-006157,SA_0694,Defensible
69,RES-007558,SA_0903,Accurate
70,RES-005507,SA_0644,Accurate
71,RES-007235,SA_0805,Accurate
72,RES-007832,SA_1045,Accurate
