evaluation_id,case_id,model,question_type,numerical_accuracy,test_coverage,description_accuracy,hallucination_free,diagnostic_accuracy,reasoning_logic,evidence_support,relevance_to_diagnosis,clinical_feasibility,completeness,weighted_score,final_score,grade,critical_error_flag,critical_error_categories,score_capped,passed
EVAL-5c916a68453a2b0c,CLIN-001,Gemini 2.5 Pro,Q1,5,5,5,4,,,,,,,4.9,97.5,A,False,,False,True
EVAL-227550ee14e6fca8,CLIN-001,Gemini 2.5 Pro,Q2,,,,,5,5,3,,,,4.6,90.0,B,False,,False,True
EVAL-7ccdf0453a274af1,CLIN-001,Gemini 2.5 Pro,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-bec43ef70468a290,CLIN-001,Grok 4,Q1,2,5,5,4,,,,,,,3.7,67.5,C,False,,False,True
EVAL-b2d918f0938bd858,CLIN-001,Grok 4,Q2,,,,,5,4,3,,,,4.3,82.5,B,False,,False,True
EVAL-f4430c874e48c29f,CLIN-001,Grok 4,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-feaf23ca474ad545,CLIN-001,OpenAI O3,Q1,2,5,2,4,,,,,,,3.1,49.0,D,True,Fabricated or Erroneous Test Result;Severity Misclassification,True,False
EVAL-e2265cb628bbc7d3,CLIN-001,OpenAI O3,Q2,,,,,2,5,3,,,,3.1,52.5,C,False,,False,True
EVAL-36b356d28f1e3ced,CLIN-001,OpenAI O3,Q3,,,,,,,,2,4,2,2.6,40.0,D,False,,False,False
EVAL-9086031c0914bcd6,CLIN-001,Claude Sonnet 4 Thinking,Q1,2,5,5,4,,,,,,,3.7,67.5,C,False,,False,True
EVAL-b3f34d5183ec0d85,CLIN-001,Claude Sonnet 4 Thinking,Q2,,,,,5,4,3,,,,4.3,82.5,B,False,,False,True
EVAL-c176e9efafd25b83,CLIN-001,Claude Sonnet 4 Thinking,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-da7c8b3533db62d4,CLIN-002,Gemini 2.5 Pro,Q1,5,4,2,2,,,,,,,3.8,49.0,D,True,Fabricated or Erroneous Test Result;Severity Misclassification,True,False
EVAL-0d153fc1b37c7140,CLIN-002,Gemini 2.5 Pro,Q2,,,,,5,4,4,,,,4.5,87.5,B,False,,False,True
EVAL-5e7429dc55262118,CLIN-002,Gemini 2.5 Pro,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-8960c3a191f7927a,CLIN-002,Grok 4,Q1,5,5,5,4,,,,,,,4.9,97.5,A,False,,False,True
EVAL-c8b21f65828b1425,CLIN-002,Grok 4,Q2,,,,,5,4,3,,,,4.3,82.5,B,False,,False,True
EVAL-1b3270bd43883087,CLIN-002,Grok 4,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-8e7cc7fd7e8f243c,CLIN-002,OpenAI O3,Q1,2,5,5,4,,,,,,,3.7,49.0,D,True,Fabricated or Erroneous Test Result,True,False
EVAL-ef0a7e580cbb96d5,CLIN-002,OpenAI O3,Q2,,,,,5,3,3,,,,4.0,75.0,B,False,,False,True
EVAL-ad5e1e4d18b2fde4,CLIN-002,OpenAI O3,Q3,,,,,,,,4,5,4,4.3,82.5,B,False,,False,True
EVAL-5e4416a612f8e1b9,CLIN-002,Claude Sonnet 4 Thinking,Q1,5,5,5,2,,,,,,,4.7,49.0,D,True,Fabricated or Erroneous Test Result,True,False
EVAL-5b42aef2a41406f3,CLIN-002,Claude Sonnet 4 Thinking,Q2,,,,,5,4,3,,,,4.3,82.5,B,False,,False,True
EVAL-5959e066d09182e3,CLIN-002,Claude Sonnet 4 Thinking,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-7d13248fa4d1724a,CLIN-003,Gemini 2.5 Pro,Q1,2,3,5,4,,,,,,,3.1,49.0,D,True,Laterality Confusion,True,False
EVAL-7bf75c75b394f19f,CLIN-003,Gemini 2.5 Pro,Q2,,,,,5,5,3,,,,4.6,90.0,B,False,,False,True
EVAL-6a8c7133456d70ce,CLIN-003,Gemini 2.5 Pro,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-2adeb1c2b6dce6b9,CLIN-003,Grok 4,Q1,5,5,5,4,,,,,,,4.9,97.5,A,False,,False,True
EVAL-c438ebb339925882,CLIN-003,Grok 4,Q2,,,,,5,4,3,,,,4.3,82.5,B,False,,False,True
EVAL-8c05b621ff7e2ac9,CLIN-003,Grok 4,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-3748d150f4e759a7,CLIN-003,OpenAI O3,Q1,5,5,5,4,,,,,,,4.9,97.5,A,False,,False,True
EVAL-f886f1a0dd47ddb3,CLIN-003,OpenAI O3,Q2,,,,,5,3,3,,,,4.0,75.0,B,False,,False,True
EVAL-69a136f4272a4bc3,CLIN-003,OpenAI O3,Q3,,,,,,,,4,5,4,4.3,82.5,B,False,,False,True
EVAL-6ac99443605ee333,CLIN-003,Claude Sonnet 4 Thinking,Q1,3,5,5,4,,,,,,,4.1,77.5,B,False,,False,True
EVAL-de6da8dbe9b89f2c,CLIN-003,Claude Sonnet 4 Thinking,Q2,,,,,5,5,3,,,,4.6,90.0,B,False,,False,True
EVAL-614c472308224ec6,CLIN-003,Claude Sonnet 4 Thinking,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-550341b96cdc8f94,CLIN-004,Gemini 2.5 Pro,Q1,5,4,2,4,,,,,,,4.0,49.0,D,True,Severity Misclassification,True,False
EVAL-10836488a4cb7468,CLIN-004,Gemini 2.5 Pro,Q2,,,,,5,5,3,,,,4.6,90.0,B,False,,False,True
EVAL-6dd699efe8eceb3e,CLIN-004,Gemini 2.5 Pro,Q3,,,,,,,,5,4,5,4.7,92.5,A,False,,False,True
EVAL-4f8fabc63d295fcd,CLIN-004,Grok 4,Q1,5,3,2,4,,,,,,,3.7,49.0,D,True,Severity Misclassification,True,False
