case_id,number_of_tasks,number_of_images,public_content_status,reason
CLIN-001,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-002,3,3,not_public,case_text_images_and_reference_answers_withheld
CLIN-003,3,4,not_public,case_text_images_and_reference_answers_withheld
CLIN-004,3,6,not_public,case_text_images_and_reference_answers_withheld
CLIN-005,3,2,not_public,case_text_images_and_reference_answers_withheld
CLIN-006,3,3,not_public,case_text_images_and_reference_answers_withheld
CLIN-007,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-008,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-009,3,4,not_public,case_text_images_and_reference_answers_withheld
CLIN-010,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-011,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-012,3,7,not_public,case_text_images_and_reference_answers_withheld
CLIN-013,3,3,not_public,case_text_images_and_reference_answers_withheld
CLIN-014,3,3,not_public,case_text_images_and_reference_answers_withheld
CLIN-015,3,6,not_public,case_text_images_and_reference_answers_withheld
CLIN-016,3,2,not_public,case_text_images_and_reference_answers_withheld
CLIN-017,3,2,not_public,case_text_images_and_reference_answers_withheld
CLIN-018,3,4,not_public,case_text_images_and_reference_answers_withheld
CLIN-019,3,3,not_public,case_text_images_and_reference_answers_withheld
CLIN-020,3,4,not_public,case_text_images_and_reference_answers_withheld
CLIN-021,3,3,not_public,case_text_images_and_reference_answers_withheld
CLIN-022,3,5,not_public,case_text_images_and_reference_answers_withheld
CLIN-023,3,4,not_public,case_text_images_and_reference_answers_withheld
CLIN-024,3,3,not_public,case_text_images_and_reference_answers_withheld
CLIN-025,3,7,not_public,case_text_images_and_reference_answers_withheld
CLIN-026,3,7,not_public,case_text_images_and_reference_answers_withheld
CLIN-027,3,2,not_public,case_text_images_and_reference_answers_withheld
CLIN-028,3,5,not_public,case_text_images_and_reference_answers_withheld
CLIN-029,3,2,not_public,case_text_images_and_reference_answers_withheld
CLIN-030,3,6,not_public,case_text_images_and_reference_answers_withheld
CLIN-031,3,12,not_public,case_text_images_and_reference_answers_withheld
CLIN-032,3,3,not_public,case_text_images_and_reference_answers_withheld
CLIN-033,3,2,not_public,case_text_images_and_reference_answers_withheld
CLIN-034,3,2,not_public,case_text_images_and_reference_answers_withheld
CLIN-035,3,3,not_public,case_text_images_and_reference_answers_withheld
CLIN-036,3,3,not_public,case_text_images_and_reference_answers_withheld
CLIN-037,3,5,not_public,case_text_images_and_reference_answers_withheld
CLIN-038,3,3,not_public,case_text_images_and_reference_answers_withheld
CLIN-039,3,5,not_public,case_text_images_and_reference_answers_withheld
CLIN-040,3,5,not_public,case_text_images_and_reference_answers_withheld
CLIN-041,3,4,not_public,case_text_images_and_reference_answers_withheld
CLIN-042,3,2,not_public,case_text_images_and_reference_answers_withheld
CLIN-043,3,5,not_public,case_text_images_and_reference_answers_withheld
CLIN-044,3,5,not_public,case_text_images_and_reference_answers_withheld
CLIN-045,3,3,not_public,case_text_images_and_reference_answers_withheld
CLIN-046,3,4,not_public,case_text_images_and_reference_answers_withheld
CLIN-047,3,3,not_public,case_text_images_and_reference_answers_withheld
CLIN-048,3,3,not_public,case_text_images_and_reference_answers_withheld
CLIN-049,3,8,not_public,case_text_images_and_reference_answers_withheld
CLIN-050,3,7,not_public,case_text_images_and_reference_answers_withheld
CLIN-051,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-052,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-053,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-054,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-055,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-056,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-057,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-058,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-059,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-060,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-061,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-062,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-063,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-064,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-065,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-066,3,1,not_public,case_text_images_and_reference_answers_withheld
CLIN-067,3,1,not_public,case_text_images_and_reference_answers_withheld
