source_id,tier,source_label,item_count,bibliographic_status,identifier_status,redistribution_status,notes
EDU-SRC-001,educational,Free Audiology Praxis Practice Test,120,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
EDU-SRC-002,educational,Canada CETP Audiology Exams Practice Questions,30,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
EDU-SRC-003,educational,Hearing Aid Dispensing Training Manual,75,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
EDU-SRC-004,educational,Audiology Preview,131,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
EDU-SRC-005,educational,An Introduction to the Physiology of Hearing,105,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
EDU-SRC-006,educational,Audiology workbook,1275,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
EDU-SRC-007,educational,Auditory Brainstem Evoked Potentials,163,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
EDU-SRC-008,educational,"Auditory Processing Disorders assessment, management and treatment",158,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
EDU-SRC-009,educational,Cochlear Implants Audiological Management and Considerations for Implantable Hearing Devices,128,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
EDU-SRC-010,educational,Foundations of aural rehabilitation,160,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
EDU-SRC-011,educational,Introduction to Audiology,195,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
EDU-SRC-012,educational,Introduction to Sound Acoustics for the Hearing and Speech Sciences,135,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
EDU-SRC-013,educational,Neuroanatomy for Speech-Language Pathology and Audiology,319,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
EDU-SRC-014,educational,The Sense of Hearing,91,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
EDU-SRC-015,educational,Anatomy and Physiology,54,owner_completion_required,owner_completion_required,owner_confirmation_required,Complete citation and redistribution basis before publication.
RES-SRC-0001,research,"""Aural Patching"" After Bilateral Cochlear Implantation Is Challenging for Children With Prior Long-Term Unilateral Implant Experience.",1,title_only,doi_or_url_not_available_in_frozen_file,owner_confirmation_required,"Add year, DOI/URL, citation, and redistribution basis before publication."
RES-SRC-0002,research,"""It Depends on the Situation"": How Hearing-Specific Contexts Affect the Way Adults With Hearing Loss Report Their Personal Attributes.",1,title_only,doi_or_url_not_available_in_frozen_file,owner_confirmation_required,"Add year, DOI/URL, citation, and redistribution basis before publication."
RES-SRC-0003,research,"""The Dichotic Digit Test"" as an Index Indicator for Hearing Problem in Dementia: Systematic Review and Meta-Analysis.",1,title_only,doi_or_url_not_available_in_frozen_file,owner_confirmation_required,"Add year, DOI/URL, citation, and redistribution basis before publication."
RES-SRC-0004,research,"""The Relationship Between Physical Activity and Tinnitus Loudness and Severity: A Cross-Sectional Study"".",1,title_only,doi_or_url_not_available_in_frozen_file,owner_confirmation_required,"Add year, DOI/URL, citation, and redistribution basis before publication."
RES-SRC-0005,research,'Ecstasy' enhances noise-induced hearing loss.,1,title_only,doi_or_url_not_available_in_frozen_file,owner_confirmation_required,"Add year, DOI/URL, citation, and redistribution basis before publication."
RES-SRC-0006,research,10-Year Follow-Up Results of The Netherlands Longitudinal Study on Hearing: Trends of Longitudinal Change in Speech Recognition in Noise.,1,title_only,doi_or_url_not_available_in_frozen_file,owner_confirmation_required,"Add year, DOI/URL, citation, and redistribution basis before publication."
